Title,url links,Author,Content
Human-induced global heating ‘causes over a third of heat deaths’,https://www.theguardian.com/environment/2021/may/31/human-induced-global-heating-causes-over-third-heat-deaths,Natalie Grover,"Between 1991 and 2018, human activity contributed to 37% of all heat-related deaths in locations studied Last modified on Mon 31 May 2021 16.49 BST More than a third of all heat-related deaths around the world between 1991 and 2018 can be attributed to human-induced global heating, research has found. Climate breakdown has a range of effects ranging from wildfires to extreme weather. As the temperatures rise, more intense and frequent heatwaves disproportionately affect elderly people and those with underlying chronic conditions such as asthma, making them more vulnerable to disease and premature death.  A study, published in the journal Nature Climate Change, used data from 732 locations in 43 countries to calculate the number of deaths attributed to heat levels higher than the ideal temperature for human health, which varies across locations. The researchers examined past weather conditions simulated under scenarios with and without emissions triggered by human activity – allowing them to separate the warming and related health impact linked with human activity from natural trends. Overall, they found 37% of all heat-related deaths in the locations studied were attributable to human activity – but the largest climate change-induced contributions (more than 50%) were in southern and western Asia (Iran and Kuwait), south-east Asia (the Philippines and Thailand) and Central and South America. This data suggests the health effects of rapid warming are already being felt even at these relatively early stages of potential catastrophic changes in climate, said the senior study author, Prof Antonio Gasparrini of the London School of Hygiene & Tropical Medicine. “It’s a kind of call to action to prevent or try to attenuate potential effects which, of course, will be much higher in the future as long as global warming goes on. The main message is … you don’t have to wait until 2050 to see increases in heat-related deaths.” Aside from death, other health problems are associated with high temperatures, such as hospital admissions sparked by cardiovascular or respiratory complications. These problems are generally more frequent and add to mounting healthcare costs, said the lead author, Dr Ana Vicedo-Cabrera from the University of Berne. “Mortality … is just the tip of the iceberg.” The analysis did not cover the whole globe; for example, there was not enough empirical data from large parts of Africa and south Asia to include them. The study’s conclusions are both scientifically robust and alarming, said Dr Clare Goodess, a senior research fellow from the school of environmental sciences at the University of East Anglia. “They tell us that people are already dying on every continent due to increases in heat stress caused by human-induced climate change. This highlights the imperative for global action to cut greenhouse gas emissions. It is more important than ever that meaningful agreements emerge from [UN climate conference] Cop26 in November.” Last year, despite a 7% fall in fossil fuel burning due to coronavirus lockdowns, global temperatures were 1.2C above pre-industrial levels. This is uncomfortably close to the 1.5C target set by the world’s nations, beyond which even half a degree is thought to significantly worsen the risks of drought, floods, extreme heat and poverty for hundreds of millions of people."
Far-right politician would be country’s next PM in proposed deal,https://www.theguardian.com/world/2021/may/31/israel-opposition-presses-ahead-as-netanyahu-scrambles-to-block-ousting,Oliver Holmes,"Yair Lapid says Naftali Bennett would serve first in proposed post-Netanyahu power-sharing deal First published on Mon 31 May 2021 10.41 BST The far-right Israeli politician Naftali Bennett will be the country’s next prime minister under a proposed power-sharing deal intended to oust Benjamin Netanyahu, the head of the opposition has confirmed. Yair Lapid said in a speech on Monday that his efforts to forge a coalition of ideologically opposed parties could lead to a new government within days, and with it, Netanyahu’s removal from office after 12 years in power.  “We can end this next week,” Lapid said. “In a week the state of Israel can be in a new era with a different prime minister.” In his speech and for the first time, Lapid referred to Bennett, a far-right religious nationalist and strong advocate for the settler movement in the Palestinian territories, as the “intended prime minister”. A far-right former settler leader, Naftali Bennett was once a senior aide and adviser to Benjamin Netanyahu and ran Israel's education and defence ministries in his governments. Bennett, who wants to annex most of the occupied West Bank, remains ideologically close to Netanyahu and was once a member of his ruling Likud party. However, the 49-year-old has fallen foul of his old boss. A stalwart of Israel’s religious right, Bennett is a former leader of Yesha, the main Jewish settler movement in the West Bank. He has made settlement expansion, the annexation of Palestinian land and the rejection of a Palestinian state a feature of his political platform. “I would not give another centimetre to the Arabs,” he said in 2018. “We have to drop the idea that if we give them more territory the world will love us.” The son of immigrants from San Francisco, Bennett became a hi-tech millionaire after selling an anti-fraud software company to a US security firm. On some issues, the former commando is less conservative than his colleague on the hard right, including gay rights and the relationship between religion and state. Oliver Holmes A source in Lapid’s Yesh Atid party confirmed that the deal would lead to Bennett becoming prime minister first, and later handing power to Lapid. The source said an agreement on how they would split a four-year term was not final. Netanyahu’s political rivals are rushing to cement a deal to oust him before a Wednesday deadline, as the prime minister and Israel’s longest-serving leader scrambles to frustrate their attempts. The announcement of the Lapid-Bennett partnership, first made on Sunday, was a blow to Netanyahu, not only as Bennett was an erstwhile ally but because his Yamina party’s seven seats in parliament could be critical to helping Lapid form a government, giving Bennett the status of kingmaker. Negotiations between Yamina and Lapid’s party, Yesh Atid, continued until the early hours of Monday and resumed later in the day.  However, further political wrangling is needed for Lapid to form a 61-seat majority in the 120-seat parliament, the Knesset. He has already made preliminary deals with several other parties, from the establishment Labor and anti-occupation Meretz parties to Yisrael Beiteinu, a hardline party led by a Moldova-born settler, Avigdor Lieberman. A telegenic former TV news anchor popular with secular middle-class Israelis, Yair Lapid is the recently installed head of the opposition who  has been tasked with forging a governing coalition before a Wednesday deadline. Lapid’s Yesh Atid party has promised to lower the cost of living and reduce the power of religious authorities, for example, by bringing in civil marriage. The 57-year-old has described himself as a centrist and somebody who supports a two-state solution. However, Lapid also said he was a “security hawk” and that there were some issues he would not compromise on in any future negotiations with the Palestinians, such as control over Jerusalem, a critical issue in the crisis. “The Palestinians want to destroy us more than they want to build a nation,” he said in a recent interview with the Times of Israel. “And as long as this is the situation, there will be no two states."" Oliver Holmes Lapid said there were “still plenty of obstacles in the way of the formation of the new government”. On Monday, there were competing requests from Lieberman and another opposition party head, Benny Gantz, for control of the agricultural ministry. Crucially, Lapid is likely to need outside backing from Arab members of parliament, possibly Islamists, who he hopes will set aside ideological differences for the shared aim of dethroning “King Bibi”, as Netanyahu is known. “The government of change we are trying to form isn’t a compromise. It’s a goal,” Lapid said last week. “It is the thing that Israel needs today like we need air to breathe. We need a government where right, left and centre work together as a way of life.” While Lapid is a self-proclaimed centrist, he has also described himself as a “security hawk” and provided only tepid encouragement to the prospect of ending the occupation. His fragile and ideologically diverse government would be expected to focus on the economy and the pandemic while avoiding addressing the fate of millions of Palestinians living under Israeli rule. If Lapid succeeds before midnight on Wednesday, he could inform the country’s president, Reuven Rivlin, that he believes he can form a government, which would then go to the Knesset for a vote. The swearing-in of the new government could happen within a week. If the deal is successful, it could end both a political deadlock that has brought four snap elections since 2019 and Netanyahu’s stretch as prime minister. Netanyahu’s Likud party won the most seats in a March election and was given 28 days to build a majority coalition government but failed to do so. To block Lapid, he has sought to embarrass rightwing politicians such as Bennett, accusing him of abandoning voters. “A government like this is a danger to the security of Israel, and is also a danger to the future of the state,” Netanyahu said on Sunday of the Lapid-Bennett deal. One member of Bennett’s Yamina party has already refused to join an anti-Netanyahu coalition. If Lapid fails to announce a government, a fifth Israeli election later this year is a possible outcome."
Britons face deadline to retain their rights in five EU countries,https://www.theguardian.com/politics/2021/may/31/britons-face-deadline-retain-rights-five-eu-countries-brexit,Jon Henley,"Tens of thousands have yet to apply for post-Brexit residence in countries with 30 June deadline Last modified on Mon 31 May 2021 16.51 BST Tens of thousands of British nationals in five EU member states including France and the Netherlands have yet to apply for post-Brexit residence and risk losing their right to live and work there unless they file their demands within 30 days. “There’s only a month to go before a hard deadline, after which a lot of people could lose their rights,” said Michaela Benson, a professor of public sociology at Lancaster University, who has specialised in studying British residents in the EU.  “We urgently need more communication – from the UK, the EU and member states – to get in touch, especially with hard-to-reach, vulnerable UK citizens who risk missing a vital cutoff point.” Under the terms of the withdrawal agreement, UK citizens who were legally resident in one of the EU’s 27 member states at the end of the transition period on 31 December are eligible for permanent residence, protecting their basic rights. Fourteen countries, including Spain, Germany, Portugal and Italy, opted for systems that automatically confer a new post-Brexit residence status on legally resident Britons, with no risk of losing rights if any administrative deadline is missed. The other 13, however, operate systems under which UK nationals must formally apply for their new residence status. Five of them – France, the Netherlands, Malta, Luxembourg and Latvia – have set an earlier deadline of 30 June for doing so. Benson said the people at risk of “falling through the gaps” were often the most vulnerable. “Those who have stayed off the radar for whatever reason – maybe because they couldn’t prove they were lawfully resident when they had to,” she said. “The ones to worry about are those who are just scraping by, perhaps in remote areas. They are not likely to come forward of their own accord. There will also be homeless British people, sick British people, British children in care.” According to the EU/UK joint committee on citizens’ rights, whose latest report, dated 28 April, was released on Friday, an estimated 298,000 Britons live in the 13 countries with so-called constitutive systems. Only 190,000 have applied for their new status. In the five countries with an end-of-June deadline, fully 25,500 of France’s estimated 148,000 British residents have yet to register, according to the most recent data, as have 8,300 of the estimated 45,000 in the Netherlands. Nearly 800 still have to apply in Latvia, 1,700 in Luxembourg and 5,300 in Malta, along with 12,000 in Finland and Sweden, which have 30 September deadlines. The cut-off date in Belgium, Denmark, Austria, Hungary and Slovenia is 31 December. Benson said the figures were approximate since most were based on data from 2018 and some EU states, such as France, had never required EU residents to register with authorities in order to qualify for public services, so may have significantly underestimated. “That means it may well have many more British residents than it imagines, just as the UK had many more EU residents than it thought,” she said. “It also makes it much harder to reach them than in places like the Netherlands with up-to-date registers.” According to the EU’s post-Brexit guidance, “failure to apply in time … may lead to a loss of any entitlement under the withdrawal agreement” in countries with constitutive systems, including the right to continue living in them. According to the committee’s report, an estimated 762,000 UK citizens live in EU countries with automatic – or “declaratory” – systems for post-Brexit residence status, and nearly 165,000 have registered so far. Several of these 14 countries also have deadlines for UK residents to register for their new status, but those who do not face a fine rather than loss of rights."
Plan lift Covid quarantine rules for vaccinated from 1 July,https://www.theguardian.com/world/2021/may/31/eu-plans-to-lift-covid-quarantine-rules-for-vaccinated-from-1-july,Daniel Boffey,"Deadline set for all 27 EU countries to accept digital passport in time to enjoy a ‘safe and relaxing summer’ Last modified on Mon 31 May 2021 16.23 BST The starting pistol has been fired on a “relaxing” summer holiday season for people living in the EU from 1 July, as Brussels proposed lifting all quarantine obligations on those who are fully vaccinated against Covid-19. From Tuesday, a system will be ready to allow member states to issue a digital Covid passport to citizens proving their status and freeing them up to travel.  With infection rates on a downward trajectory across the bloc, a deadline has been set for 1 July for all 27 EU countries to accept the documentation as sufficient proof of vaccination for restrictions to be lifted. A negative test or proof of having recovered from infection will confer the same rights on the holder of a certificate. The European Commission has proposed a standard validity period for tests: 72 hours before travel for PCR tests and 48 hours for rapid antigen tests. The children of those who are fully vaccinated will also be exempt from quarantine under the proposal and as a minimum no one under six years of age will need to take a test. Many countries are likely to set a higher age threshold for the testing of minors. The intention is that fully vaccinated UK travellers will benefit from the Covid passport system but, in light of the emerging variant first identified in India, EU governments may still impose restrictions on people arriving from the UK including testing and quarantine obligations. From Monday, entry to France has been limited to EU nationals, French residents, and those travelling for essential purposes. People arriving from the UK must have tested negative and quarantine for seven days. While a sudden deterioration in the Covid infection rates in the EU could lead to the use of an “emergency brake” on the lifting of restrictions within the bloc, the intention is to reintroduce free movement as the summer tourism season begins. Ursula von der Leyen, the commission president, tweeted: “Europeans should enjoy a safe and relaxing summer. As vaccination progresses, we propose to gradually ease travel measures in a coordinated way with our common tool: the EU digital covid certificate. It will bring clarity and predictability as we resume free travel in the EU”. In addition to the lifting of quarantine on the fully vaccinated from 1 July, the commission has proposed that anyone coming from a “green” region of the EU, such as west Finland, where less than 25 cases per 100,000 people have been recorded during the previous 14 days, should be entirely freed from restrictions. Those who are not fully vaccinated coming from an “orange” area, with a 14-day cumulative Covid-19 case notification rate of 75, will need to take a pre-departure test. Didier Reynders, the European commissioner for justice, said: “The last weeks have brought a continuous downward trend in infection numbers, showing the success of the vaccination campaigns across the EU. “In parallel, we are also encouraging affordable and widely available testing possibilities. In this context, member states are now slowly lifting Covid-19 restrictions both domestically and regarding travel.” The UK is yet to be added to a “white list” of non-EU countries from where the EU recommends that unvaccinated travellers may safely be permitted to enter the bloc for non-essential reasons. Despite the delay, countries including Portugal have opened their doors to British tourists."
Three-child limit announced in major policy shift,https://www.theguardian.com/world/2021/may/31/china-announces-three-child-limit-in-major-policy-shift,Vincent Ni,"Move follows data showing sharp decline in number of births in world’s most populous country First published on Mon 31 May 2021 09.01 BST China has announced that couples will be permitted to have up to three children in a major policy shift from the existing two-child limit, after recent data showed a dramatic decline in births in the world’s most populous country. “To actively respond to the ageing of the population … a couple can have three children,” state media Xinhua reported on Monday, citing a meeting of China’s elite politburo leadership committee hosted by President Xi Jinping.  China’s fertility rate stands at 1.3 – below the level needed to maintain a stable population. According to the National Bureau of Statistics, there were officially 12 million babies born in 2020, 2.65 million fewer than were born in 2019, an 18% fall. Preliminary data released earlier this year, based on registered births, had indicated a year-on-year drop of 15%. Earlier this month, China reported the slowest population growth since the early 1960s, despite scrapping its one-child policy in 2015 to encourage more births and stave off a looming demographic crisis. A once-a-decade census showed that the overall population of China grew to 1.41 billion in the 10 years to 2020, up by 5.38%. The increase reflects an average annual rise of 0.53%, down from 0.57% reported from 2000 to 2010. For more than 35 years, China enforced a controversial one-child policy initially imposed to halt a population explosion. Its replacement, a two-child limit, failed to result in a sustained surge in the number of births as the high cost of raising children in Chinese cities deterred many couples from starting families. On paper, under the current two-child policy, couples have to pay a “social support fine” for having a third child. However, some say the implementation of this policy varies in different parts of the country. Monday’s announcement drew a heated discussion on China’s social media platform Weibo. The hashtag #Here-comes-the-three-child-policy had reached 3bn views, with many questioning whether the policy is too little and too late. “I myself am a product of the one-child policy. I already have to take care of my parents. Where would I find the energy to raise more than two kids?” one user posted on Weibo. “I am willing to have three children if you give me 5 million yuan (£554,350),” wrote another commenter. Prof Wang Feng of University of California Irvine, who specialises in Asian demographics, said that China’s birth control policy should have already been abandoned. “It’s outdated. What China needs is not another state policy, but rather a better and fairer society.” He Yafu, an independent demographer in Guangzhou, said that given the limited impact of the two-child policy, the announcement will hardly help reverse the current trend. “The relaxation may not achieve as much as the authorities would have anticipated. It’s too costly to raise a child these days, and housing is not cheap in China,” he said. But Prof Stuart Gietel-Basten, who directs the centre for ageing science at the Hong Kong university of science and technology, said the announcement was not unimportant. “It removes a clear inconsistency in the narrative surrounding the concerns over low fertility with restrictions on births at the same time,” he said. “It will also be an important step in further stamping out illegal actions on women’s bodies [eg sterilisation and abortion] sanctioned by some local officials.” It is not only China that is facing such a demographic challenge. Across east Asia, authorities have, for years, been scrambling to persuade couples to have more babies. South Korea and Japan have both used stipends to increase incentives. Before the announcement, authorities had been experimenting with the three-child policy in the north-eastern Chinese province of Heilongjiang. Yet, some Chinese experts said the result was less effective than previously thought. This has also led some to call for a complete abandonment of the family planning policy. The policy change will come with “supportive measures, which will be conducive to improving our country’s population structure, fulfilling the country’s strategy of actively coping with an ageing population and maintaining the advantage, endowment of human resources”, Xinhua said."
Denmark helped US spy on Angela Merkel and European allies – report,https://www.theguardian.com/world/2021/may/31/denmark-helped-us-spy-on-angela-merkel-and-european-allies-report,Jon Henley,"Media reports claim US National Security Agency used Danish cables to spy on senior officials First published on Mon 31 May 2021 10.30 BST Reports that Denmark’s military intelligence agency helped the US to spy on leading European politicians, including the German chancellor, Angela Merkel, have sparked concern – and demands for an explanation – in EU capitals. Danish public broadcaster Danmarks Radio said the US National Security Agency (NSA), whose alleged tapping of Merkel’s phone was disclosed by Edward Snowden in 2013, also used the Danish Defence Intelligence Service (FE) to spy on officials in Sweden, Norway and France.  The allegations are contained in an internal classified report on the FE’s role in the surveillance partnership agreement with the NSA from 2012 to 2014, the broadcaster said, citing nine unidentified sources familiar with the investigation. It said the NSA used Danish information cables to spy on senior officials including the former German foreign minister, Frank-Walter Steinmeier, and the then opposition leader Peer Steinbrück. It was not clear whether the Danish government authorised the taps. The Danish defence minister, Trine Bramsen, who took over the defence portfolio in June 2019, was reportedly informed of the espionage in August last year. She told Danmarks Radio that “systematic eavesdropping of close allies” was “clearly unacceptable”. France’s Europe minister, Clément Beaune, said the reports were “extremely serious” if proven. “We need to see if our partners in the EU, the Danes, have committed errors in their cooperation with American services,” Beaune told French radio. “Between allies, there must be trust, a minimal cooperation.”  Merkel’s spokesman, Steffen Seibert, said on Monday that the German government had “taken note of the reporting. It is in contact with all relevant national and international authorities for clarification.” Steinbrück said the NSA and FE’s activities were “a political scandal”. The former centre-left SPD party leader said he accepted western states needed intelligence services, but added it was “grotesque that friendly intelligence services are indeed intercepting and spying on top representatives of other countries”. Danmarks Radio published the allegations on Sunday evening in a joint investigation with the Swedish public broadcaster SVT, Norway’s NRK, France’s Le Monde, and Germany’s NDR, WDR and Süddeutsche Zeitung. The Danish broadcaster said the NSA retrieved text messages, calls and internet traffic including searches and chats thanks to its partnership with FE. Denmark, a close US ally, hosts several key landing stations for undersea internet cables to and from Sweden, Norway, Germany, the Netherlands and Britain. Neither the agency or its director at the time, Lars Findsen, have commented on the report. Findsen and three other FE officials were suspended last year by an independent oversight board following criticism and accusations of serious wrongdoings stemming from the internal investigation, which began in 2015, Danmarks Radio said. The NSA did not immediately respond to requests for comment. Sweden’s defence minister, Peter Hultqvist, demanded “full information” and his counterpart in Norway, Frank Bakke-Jensen, said the allegations “are being taken seriously”. If confirmed, the spying was happening during and after the 2013 Snowden affair, when the former NSA contractor revealed thousands of secret documents exposing the vast US surveillance operation mounted after the 2001 9/11 attacks. Snowden on Sunday accused Joe Biden, who was US vice-president at the time, of being “deeply involved … the first time around”. Snowden called on Twitter for “full public disclosure not only from Denmark, but their senior partner as well”. The former contractor has been charged in the US with theft of government property, unauthorised communication of national defence information and wilful communication of classified communications intelligence and is in Russia."
Country faces disaster as burning ship spills chemicals on beaches,https://www.theguardian.com/world/2021/may/31/sri-lanka-faces-disaster-burning-ship-spills-chemicals-beaches,Hannah Ellis-Petersen,"Debris has killed marine life and is being seen as country’s worst environmental catastrophe Last modified on Mon 31 May 2021 14.48 BST Sri Lanka is facing the worst environmental disaster in its history after a cargo ship carrying chemicals caught fire off its coast, spilling microplastics across the country’s pristine beaches and killing marine life. The fire on MV X-Press Pearl, a Singapore-registered ship, broke out on 20 May and has been burning ever since. The Sri Lankan navy and Indian coastguard have been trying to reduce the flames for more than 10 days.  The 25-person crew was evacuated but the firefighting operation has been complicated by monsoon winds and the highly flammable and poisonous cargo. The ship was carrying 25 tonnes of nitric acid, sodium hydroxide and other dangerous chemicals as well as 28 containers of raw materials used to make plastic bags. It also had more than 300 tonnes of fuel in its tanks. Though officials said the worst of the fire had been extinguished, explosions continued to be heard and thick smoke and small flames could be seen from the vessel over the weekend, which is anchored nine miles off the capital, Colombo. It is feared the chemical spill has already caused untold damage to Sri Lanka’s coastline, including the popular tourist resorts of Negombo and Kalutara, with beaches thickly coated in microplastics and an oil slick visible in the surrounding ocean. The plastic pellets used to make plastic bags can be fatal to marine life and dead sea turtles, fish and birds have already begun washing up on beaches. Local people have been told not to touch any of the debris as it could be highly toxic and fishing has been banned within a 50-mile radius of the scene. “With the available information so far, this can be described as the worst disaster in my lifetime,” said Dharshani Lahandapura, the chair of the Marine Environment Protection Authority. The MEPA said the chemicals had leaked into the sea and contaminated the water, probably causing ecological damage to coral reefs, lagoons and mangroves that could take decades to repair. Thousands of navy personnel in protective gear have been deployed on a cleanup operation to remove the thick layer of plastic pollution and chemical waste that has begun coating the shores, with bulldozers used to move the waste. The government has promised an investigation into the disaster and a special police team has been assembled to question the captain and crew. Authorities believe the disaster was caused by a nitric acid leak."
Four more Oath Keepers indicted for participating in Capitol attack,https://www.theguardian.com/us-news/2021/may/31/capitol-attack-four-more-oath-keepers-indicted,Edward Helmore,"New indictment is part of a larger criminal conspiracy case that now includes 19 members of the far-right group Last modified on Mon 31 May 2021 14.17 BST Four additional members of the Oath Keepers, a far-right militia group that took part in the storming of the US Capitol on 6 January, have been indicted for participating in the event. Court documents unsealed on Sunday named three individuals living in Florida – Joseph Hackett, 51, of Sarasota, Jason Dolan, 44, of Wellington, and William Isaacs, 21, of Kissimmee. The three appeared last Thursday before US magistrates in Tampa, West Palm Beach and Orlando. A fourth person’s name was hidden.  The four new defendants are charged with conspiring to obstruct Congress’s confirmation of the 2020 presidential election results in a joint session of Congress that was interrupted by the attack on the Capitol by a pro-Trump mob. Five deaths were ultimately linked to the attack. The four Oath Keepers are each accused of forcing entry through the Capitol’s East Rotunda doors after marching up the steps wearing combat uniforms, tactical vests, helmets and Oath Keepers insignia. The new indictment is part of a larger criminal conspiracy case that now includes 19 members of the far-right group. Members previously charged in the government’s case have pleaded not guilty. According to prosecutors, members of the group attended a 9 November meeting during which the Oath Keeper’s founder Stewart Rhodes, referred to in government documents as Person One, described the attack as an insurrection. “We’re gonna be posted outside DC, awaiting the president’s orders. … We want him to declare an insurrection,” according to documents. Prosecutors say the Oath Keepers is a loose federation of militia groups that targets law enforcement and military members for recruitment and promotes a totalitarian vision of the government that its members believes represents a threat to American citizens. Rhodes, who has not been charged, has claimed that the government is trying to build the action of a few members into an alleged organizational conspiracy. “I may go to jail soon, not for anything I actually did, but for made-up crimes,” Rhodes told Texas Republicans in March, according to the Washington Post. The new indictment alleges that Rhodes began developing plans to keep Donald Trump in office by force six days after the presidential vote. During an online meeting on 9 November, prosecutors claim, he told some of the Oath Keepers now under indictment: We want [Trump] to declare an insurrection, and to call us up as the militia,” Rhodes allegedly stated."
Prehistoric carvings of red deer found in neolithic tomb,https://www.theguardian.com/uk-news/2021/may/31/prehistoric-carvings-of-red-deer-found-in-scottish-neolithic-tomb,Severin Carrell,"Amateur archaeologist exploring Dunchraigaig cairn found animal depictions by chance Last modified on Mon 31 May 2021 14.29 BST Delicate prehistoric carvings of adult red deer, thought to be the oldest of their type in the UK, have been found in a tomb in one of Scotland’s most famous neolithic sites. The carvings, which depict two male red deer with full-grown antlers and several thought to be young deer, were discovered by chance in Kilmartin Glen in Argyll, home to one of the UK’s richest accumulations of neolithic and bronze age sites.  Archaeologists estimate the carvings are between 4,000 and 5,000 years old, a period which spans the neolithic and early bronze age, and are the first in the UK located alongside prehistoric cup and ring markings found throughout Kilmartin Glen. The deer were found by Hamish Fenton, an amateur archaeologist from Oxfordshire who was visiting the area, and who was exploring Dunchraigaig cairn, a bronze age burial mound, one evening. After deciding to explore a burial cist on the side of the cairn, he slid inside with a torch. An archaeology graduate from Bournemouth university, Fenton spotted the delicate and unusual markings on the capstone, or cover, of the chamber. “As I shone the torch around, I noticed a pattern on the underside of the roof slab which didn’t appear to be natural markings in the rock. I could see that I was looking at a deer stag upside down, and as I continued looking around, more animals appeared on the rock,” he said. “This was a completely amazing and unexpected find and, to me, discoveries like this are the real treasure of archaeology, helping to reshape our understanding of the past.” The cairn has been cordoned off to allow further surveys and preservation of the chamber, the site’s owners, Historic Environment Scotland, said on Monday. HES said its rock art project has already made detailed 3D scans and digital models of the carvings to allow the faint markings to be properly seen and studied. Dr Tertia Barnett, the project’s principal investigator, said these were the first prehistoric animal carvings found in Scotland. Their figurative style also contradicted the assumption that British rock art of this date was mainly geometric. “While there are a few prehistoric carvings of deer in the UK, the only other ones created in the early bronze age are very schematic. It is remarkable that these carvings in Dunchraigaig cairn show such great anatomical detail and there is no doubt about which animal species they represent,” she said."
'Grandma Wong’ arrested for solo Tiananmen protest,https://www.theguardian.com/world/2021/may/31/hong-kong-grandma-wong-arrested-for-solo-tiananmen-protest,Editor,"Detention of of veteran pro-democracy activist clear sign of authorities’ zero tolerance to dissent Last modified on Mon 31 May 2021 14.41 BST Police in Hong Kong have arrested a 65-year-old democracy activist as she staged a lone demonstration over China’s deadly Tiananmen crackdown, in a vivid illustration of the zero tolerance wielded by authorities towards protest in the financial hub. Alexandra Wong was detained on Sunday on suspicion of taking part in an unlawful assembly as she walked towards Beijing’s liaison office in Hong Kong.  Wong – known locally as “Grandma Wong” – was a regular fixture of the huge democracy protests that swept Hong Kong in 2019. She could often be seen waving a union jack flag, a symbol of her dissatisfaction with Beijing’s rule since the city was handed to China by the former colonial power in 1997. Protest is now all but outlawed in Hong Kong. Authorities have used both the threat of the coronavirus and security concerns to outlaw demonstrations. A vigil planned for this Friday – the 32nd anniversary of Beijing’s 1989 crackdown on democracy protests in Tiananmen Square – has been denied permission for the second year in a row. Authorities have cited the pandemic as a reason for the ban, although Hong Kong has not recorded any local transmission cases of unknown origin for the past month. Activists had also sought permission for a small Tiananmen-themed march on Sunday to the liaison office, which represents the central government in the city, but it too was denied permission. Wong turned up that afternoon holding a sign that read “32, June 4, Tiananmen’s lament” and a yellow umbrella, a symbol of Hong Kong’s democracy movement. The South China Morning Post said Wong started chanting slogans in a park before heading towards the liaison office by herself, while being followed and filmed by police. She was stopped twice. “I’m only by myself, just an old lady here. Why stop me?” the Post quoted Wong as telling officers. Soon afterwards she was arrested. Police confirmed a 65-year-old woman with the surname of Wong had been arrested for “knowingly participating in an unauthorised assembly and attempting to incite others to join an unauthorised assembly”. Hong Kong’s democracy movement has been crushed by a broad crackdown on dissent over the past year, including the imposition of a sweeping security law that criminalises much dissent. In the middle of the 2019 protests Wong disappeared for more than a year. She resurfaced saying she had been detained by mainland authorities during a trip to Shenzhen, a neighbouring city where she lived at the time."
